project_name,starting_date,completion_date,fund_acronym,theme_name,total_amount,eu_cofinancing_amount,project_description,beneficiary_nuts_region,beneficiary_name,beneficiary_address,beneficiary_postal_code,beneficiary_city,amount,amount_kind,approval_date,beneficiary_country,beneficiary_country_code,beneficiary_county,beneficiary_id,beneficiary_nuts_code,beneficiary_person,beneficiary_url,cci_program_code,currency,eu_cofinancing_amount_eligible,eu_cofinancing_rate,final_payment_date,first_payment_date,funding_period,management_authority,member_state_amount,operational_programme,priority_label,priority_number,project_status,source,theme_code,third_party_amount,total_amount_applied,total_amount_eligible
Det Danske Seafood Center,2007-07-18,2011-12-31,ERDF,Innovation og videndeling,32467.02,16233.51,"Projektet vedrører færdigetablering af et klyngesekretariat, hvis aktiviteter omhandler vidensamling, -de­ling og -spredning mellem forskningsinstitutioner og fiskeindustrien samt afdækning og koordinering af generelle analyser om markeder, produkter og processer samt videreformidling af denne viden til fiskeindustrien, via seminarer, workshops, nyhedsbreve og hjemmeside.",DANMARK,Den Erhvervsdrivende Fond Dansk Skaldyrcenter,Øroddevej 80,7900,Nykøbing M,2183.933545278039833373306955,eu_cofinancing_amount,,DANMARK,DK,,Dansk den erhvervsdrivende fond skaldyrcenter,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Tjek til vækst Sjælland,2013-09-01,2014-02-28,ERDF,Innovation og videndeling,74381.85,35020,"Region Sjælland har mange små og mellemstore virksomheder (SMV´er), der kan sikres konsolidering, udvikling og øget vækst ved, at de bibringes større viden om egne potentialer og udfordringer.Projektet ""Tjek til vækst"" (TTV) medvirker til at Regionens SMV´er kan øge deres vækst og innovative potentialer gennem systematsik analyse af den enkelte virksomheds situation og muligheder. Analysen sker i form af konkrete tjek på den enkelte virksomhed, der udføres af relevante eksterne rådgivere.Der er tale om tre forskellige tjek, der anvendes i forhold til den enkelte virksomheds specifikke behov. Det er produktionsoptimerings-, automations- og digitaliseringstjek. De forskellige tjek anvendes efter samråd mellem TTV´s projektleder, eksterne rådgivere og projekt KOMPAD, der samvirker med TTV, hvorved der opnås høj præcision og effekt af det pågældende tjek, da der gennem TTV er skabt et solidt forarbejde for tjekket og at udgiften for virksomheden er reduceret. TTV forventer med udgiftsreduktionen, også at kunne nå de SMV´er, der almindeligvis er de svageste brugere af de forskellige faciliteringsmuligheder. Tjekket afdækker og anbefaler hvordan virksomheden kan gennemføre ændringer i produktionen, investering i ny teknologi, kompetenceudvikling af medarbejdere og ledere, indlede samarbejde med andre virksomheder. Projektleder vil i denne fase have en formidlende rolle og være bindeled mellemde de igangværende projekter/ordninger til gavn for virksomheden.",DANMARK,Zealand Business College,Handelsskolevej 3,4700,Næstved,4695.037224286039624909783186,eu_cofinancing_amount,,DANMARK,DK,,Business college zealand,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Fremtidens iværksætterkompetencer. Delprojekt C: Målrettede netværk af nyetablerede virksomheder,2008-01-01,2011-02-28,ESF,Etab. og udvikling af nye virksomh.,103107.2,36877.81,"Vækstforum Midtjylland har i den regionale erhvervsstrategi sat som mål, at den regionale etablerings- og overlevelsesrate samt andel af vækstiværksættere skal øges inden 2015. I partnerskabsaftalen med regeringen er det aftalt, at andelen af vækstiværksættere skal øges fra de nuværende 4% (125 vækstiværksættere) til 8% (250 vækstiværksættere) i 2015. For at nå dette ambitiøse mål igangsættes et iværksætterprogram med et betydeligt bidrag af tilbud og ydelser til det samlede erhvervsservicesystem i region Midtjylland. Programmet tager udgangspunkt i og understøtter en sammenhængende og gennemskuelig erhvervsserviceinfrastruktur, hvor der lokalt findes basistilbud til alle iværksættere, som tilbydes vejledning og rådgivning om start, drift og udvikling af virksomhed. Iværksætterprogrammet er målrettet de iværksættere, som på grund af ambitioner og problemstillinger har behov for viden og rådgivning ud over det lokale basistilbud. De tilbydes mulighed for deltagelse i vækstgrupper. For at fremme en sammenhængende og gennemskuelig erhvervsservice i region Midtjylland, understøtter programmet desuden det samlede system med kompetenceudvikling til vejledere i såvel den lokale erhvervsservice som i Væksthus Midtjylland. Endvidere indgår afholdelse af iværksætterkurser.Denne ansøgning er et svar på et konkret udbud fra Vækstforum Midtjylland (der henvises til vedhæftet ansøgning til Vækstforum Midtjylland). Hele projektet er delt op i flere delprojekter, se derfor også ""Fremtidens iværksætterkompetencer. Delprojekt A: Administration og projektledelse"" ""Fremtidens iværksætterkompetencer - delprojekt B Oprettelse og drift af vækstgrupper"" og ""Fremtidens iværksætterkompetencer. Delprojekt D: Kompetenceudvikling""",DANMARK,Væksthus Midtjylland,Åbogade 15,8200,Århus N,4907.565374226483618225469474,eu_cofinancing_amount,,DANMARK,DK,,Midtjylland vaeksthus,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Ny produktionslinje,2013-01-14,2014-03-31,ERDF,Innovation og videndeling,164655.18,70327.93,"K. Balling-Engelsen A/S udvikler, producerer og leverer skumprodukter til møbler, industri, pleje og detail. Vi produktudvikler på eget laboratorium og opskummer på egen fabrik, hvor vi også bearbejder skummet til komponenter eller færdige produkter efter individuelle aftaler.Med dette projekt er det formålet at etablere en helt ny produktionslinie indenfor produktion af senge og madrasser. De nye produkter vil primært blive afsat til det maritime marked. Den nye produktionslinie vil samtidig betyde, at ny teknologi og nye produtionsprocesser vil blive indført, idet den skum, som skal anvendes i de nye produkter, vil være baseret på nye typer kemikalier og en mindre mængde skum. Som en væsentlig del af projektet hører samtidig certificeringen af de nye produkter, idet certifering er en forudsætning for, at de nye produkter vil kunne afsættes på det maritime marked. Projektet vil betyde, at K. Balling-Engelsen fremover opnår et øget produktsortiment, flere ansatte, optimerede produktionsprocesser og øget konkurrenceevne.",DANMARK,K. Balling-Engelsen A/S,Dyrehegnet 2,4930,Maribo,9406.902612167456324490100172,eu_cofinancing_amount,,DANMARK,DK,,A balling engelsen k s,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Crestwing,2012-06-25,2014-10-01,ERDF,Innovation og videndeling,194107.19,97045.53,"Formålet med projektet er at føre Crestwing frem til produktionsfasen således at konceptet kan sættes udbud i 2013 med efterfølgende produktion med henblik på udlægning af en fuld skala Hanstholm prototype i 2015. Formålet opnås gennem videreførelse og udvidelse af følgende igangværende projekter: a. off shore testforløb skala 1:5 ud for Frederikshavn b. forprojektering og costanalyse ad. a: indfries gennem udvidelse af igangværende ""off shore projekt skala 1:5 Frederikshavn"" ¿ tidsmæssig med to måneder frem til feb 2013. ¿ testomfanget øges med anti foulings forsøg, behavior test i seks friheds grader ad. b: forprojektering og costanalyse udvides til endelig konstruktion og design af ""Crestwing"" prototype for test på DanWec siten ud for Hanstholm. ¿ fastlæggelse af site placering ¿ detail konstruktion og design af hovedkonstruktion ¿ detail konstruktion og design af PTO systemet ¿ detail konstruktion og design af forankringssystemet ¿ detail konstruktion og design af udrustning Crestwing ¿ fastlæggelse af måleprogram og koncept for drift og vedligehold ¿ udbuds materiale og prissætning af prototype ¿ forretningsudvikling, markedsføring, funding og salg. Formålet er endvidere etablering af et erfarent team omkring udviklingen af WECén Crestwing bestående af erfarne rådgivere og producenter inden for den nordjyske maritime sektor.Der ansøges om støtte til projektering og design af WECén Crestwing. Projekteringen igangsættes pr. 1aug. 2012.",DANMARK,Crestwing ApS,"Silovej 8, 2. v.",9900,Frederikshavn,13060.07913121938532369920027,eu_cofinancing_amount,,DANMARK,DK,,Aps crestwing,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Alu-kompetenceudvikling,2008-01-01,2009-02-28,ESF,Udvikling af menneskelige ressourcer,204473.79,102236.9,"AluCluster vil med dette projekt søge at højne kompetencenivauet hos Alu-klyngens korttidsuddannede medarbejdere, med henblik på at styrke konkurrenceevnen blandt Alu-klyngens medlemmer. Projektet skal samtidig være forløberen for et konkret tiltag, hvor der skal opbygges et Alu-læringsrum for Aluminiums klyngen, som har til mål at give Alu-virksomhederne ""førertrøjen"" på i den globale økonomi.Indholdet er dels en afklaringsproces, hvor kompetencerne analyseres, dernæst af lave et pilotforløb, hvor de innovative kræfter og kompetencer skal afprøves.Det hele forventes at føre til konkrete kompetenceudviklingsplaner i relation til fremtidens forventede fleksibilitet og innovation blandt medarbejdere i virksomhederne.For at sikre at fremtidige læringsindsatser også har en målbar effekt, søges der udviklet et værktøj, der kan dokumentere situationen før og efter, dels på medarbejder og klyngens generelle status.",DANMARK,AluCluster,Jernbanegade 27,6000,Kolding,13605.31632459345018123786364,eu_cofinancing_amount,,DANMARK,DK,,Alucluster,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
På jobbet fra dag 1,2009-04-01,2010-06-30,ESF,Udvikling af menneskelige ressourcer,378730.56,146210.36,"Den overordnede intention med dette projekt er at udvikle og afprøve konceptet På jobbet fra dag 1. Konceptet indebærer følgende: 1. At den afklaring og arbejdsmarkedsrettede opkvalificering, der skal ske af borgere med en svag tilknytning til arbejdsmarkedet, konsekvent foretages med afsæt i en virksomhedspraktik.2. At den afklaring og kvalificering, der således sker i virksomhedsregi ligeledes konsekvent tager afsæt i problemstillinger fra praksis, som borgeren genkender, og som der umiddelbart kan skabes motivation omkring.3. At virksomhedssiden involveres aktivt i afklaring og kvalificeringen af borgere i praktik.4. At der i visiteringen af de udvalgte mentorer fra virksomhedssiden (som skal støtte projektets primære målgruppe i praktikperioden) også indgår et fastholdelsesperspektiv.5. At de professionelle aktører i projektet i højere grad får en coachende og supporterende rolle for virksomhedssiden; snarere end en traditionel ekspertrolle i relation til såvel borger som virksomhed. Det overordnede formål er at udvikle og afprøve et koncept, der kan understøtte en integration af en ressourcesvag målgruppe på arbejdsmarkedet; også under den aktuelle konjunktursituation. Det er således målsætningen, at mere end 50 % af deltagergruppen fastholdes i varig beskæftigelse efter at have medvirket i projektet.Projektet indeholder følgende hovedaktiviteter: 1. En kortlægning af udfordringer og muligheder - primært på virksomhedsniveau - i forbindelse med implementering af konceptet På jobbet fra dag 1.2. En udvikling af de nødvendige faglige og organisatoriske rammer - hos såvel de professionelle aktører som på virksomhedsniveau - i forhold til implementeringen af konceptet På jobbet fra dag 1. 3. En kvalificering af virksomhedsrepræsentanter og repræsentanter fra de professionelle aktører i forhold til at støtte op omkring konceptet På jobbet fra dag 1 i praksis.4. En implementering og afprøvning af konceptet På jobbet fra dag 1. 5. En opsamling og formidling de væsentligste projektresultater. Projektet planlægges gennemført i et samarbejde mellem 3 jobcentre og en gruppe af ""anden aktører"" fra Region Hovedstaden. Endvidere inddrages mellem 15 og 40 virksomheder i projektet. CPH WEST vil fungere som projektkoordinator.Projektet tænkes gennemført i perioden mellem sept. 2009 og juni 2011.",DANMARK,CPH WEST Uddannelsescenter København Vest,Vejlebrovej 45,2635,Ishøj,19598.16128761991116258300849,eu_cofinancing_amount,,DANMARK,DK,,Cph kobenhavn uddannelsescenter vest west,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Etablering af et offshore-uddannelsescenter,2008-06-11,2010-09-30,ESF,Udvikling af menneskelige ressourcer,404990.4,172336.34,"Undersøgelser har vist, at der ligger et stort vækstpotentiale i de små og mellemstore virksomheder, som opererer indenfor eller er tilknyttet offshorebranchen i Sydvestjylland. Katalysatoren, der skal til for at stimulere væksten, er kompetenceudvikling på alle niveauer.Der er allerede i regionen en række uddannelsesinstitutioner, der tilbyder uddannelser og efteruddannelse indenfor en række offshore-relaterede områder, ligesom der eksisterer en række videncentre med speciale indenfor konkrete offshore-relaterede brancheområder. Formålet med dette projekt er at etablere et offshore-uddannelsescenter, der kan gennemføre målrettet kompetenceudvikling i alle virksomheder, der har relation til offshore-branchen i Region Syddanmark, med henblik på at skabe vækst indenfor området. Projektets mål er at etablere et uddannelsescenter indenfor offshore-kompetenceudvikling i form af et metanetværk bestående af eksisterende videncentre og uddannelsesinstitutioner. Den koordinerende enhed bliver AMU-Vest, og i netværket vil der i første omgang indgå Offshore Center Danmark sammen med uddannelsesinstitutionerne:AMU-Vest og institutionens videncenter Stillads Center DanmarkEUC-Vest og institutionens kursuscenter Kursuscenter Vest samt videncentrene Svejsecenter og Center for Ledelse og medarbejderudviklingEsbjerg Handelsskoles KursuscenterErhvervsakademi Vest med Videncenter VestSyddansk UniversitetAalborg Universitet. Der vil i uddannelsescentret blive etableret et referencenetværk bestående af et bredt udsnit af virksomheder indenfor offshore-branchen.Det er målet gennem uddannelsescentret at gennemføre analyser af kompetenceudviklingsbehov på alle niveauer indenfor offshorebranchen samt kontinuerligt at udvikle og gennemføre grund- og efteruddannelser, der modsvarer behovene. Indenfor projektperioden er det målet at etablere offshore-uddannelsescentret, at gennemføre en bred analyse af uddannelsesbehovene, at udvikle de nødvendige uddannelser samt at gennemføre efteruddannelse for minimum 50 virksomheder og 1000 medarbejdere.",DANMARK,AMU-Vest,Spangsbjerg Møllevej 304-306,6705,Esbjerg Ø,23183.41457349131921985341265,eu_cofinancing_amount,,DANMARK,DK,,Amu vest,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Det Interaktive Hus,2007-10-01,2008-03-31,ERDF,Innovation og videndeling,428912.78,214456.39,"Projektet er et forprojekt til Det Interaktive Hus, og baserer sig på en samarbejdsplatform bestående af Producentforeningen, Den Danske Filmskole/DADIU, og The Animation Workshop/Professionshøjskolen VIA, samt en række fremtrædende repræsentanter fra spiludviklingsvirksomheder der er medlem af Producentforeningen. Det Interaktive Hus er et center for viden, vækst og netværk i dansk computerspilindustri. Det skal stå for en dynamisk, eksperimenterende, men målrettet indsats, som led i en samlet indsats for at støtte udviklingen af, og styrke vækstpotentialet i den interaktive underholdningsbranche, med udgangspunkt i computerspilbranchen. I Det Interaktive Hus findes DADIU (Det Danske Akademi for Interaktiv Underholdning), et antal iværksættervirksomheder og etablerede virksomheder i den interaktive underholdningsbranche. Det Interaktive Hus ligger i hovedstaden, midt i Danmarks største koncentration af computerspilvirksomheder, midt i Øresundsregionen, som indeholder Nordens største klynge af spiludviklere.",DANMARK,Producentforeningen,Bernhard Bangs Alle 25,2000,Frederiksberg,28764.01636997892518653519023,eu_cofinancing_amount,,DANMARK,DK,,Producentforeningen,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Center for maritim drift og operation,2009-12-03,2010-10-01,ERDF,Innovation og videndeling,485204.9,242602.45,"Der søges om midler til en foranalyse, som skal belyse og undersøge mulighederne for etablering af et ""Center for maritim drift og operation"" i Frederikshavn. Centeret skal bl.a. bidrage til at sikre vedholdende fokus på udvikling i den maritime service og reparationsindustri. Centeret skal bl.a. opsamle viden fra universiteter og andre producenter af viden og ""transformere"" denne viden ud til de maritime virksomheder, så virksomhederne til stadighed er i front vidensmæssigt og dermed konkurrencemæssigt indenfor forretningsudvikling og markedsudvikling. Centeret skal være omdrejningspunktet. Stedet som har fingeren på pulsen i forhold til tendenser og krav af relevans for den maritime serviceindustri. Centeret skal fungere som vidensportal og netværksfacilitator og fremme praksisnære løsninger på det drifts- og operationelle område. Herved vil centeret bidrage til at fastholde og udbygge kompetencerne i regionens maritime klynge og på nationalt plan understøtte den maritime vækst og udvikling. Centeret skal være med til at bringe Danmark i front internationalt indenfor den maritime servicesektor. Centerets overordnede vision kunne være at bidrage til udvikling og fastholdelse af konkurrcencedygtige og fremsynede virksomheder i ""Det blå Danmark"" inkl. fiskerierhvervet. Centeret skal være en aktiv netværks- og dialogbaseret aktør, der fremmer konkrete og praksisnære løsninger.",DANMARK,Frederikshavn Kommune,Rådhus Alle 100,9900,Frederikshavn,32655.16711192032268940427242,eu_cofinancing_amount,,DANMARK,DK,,Frederikshavn kommune,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
