Gruppierung Bezeichnung;Produktbereich;Produktbereich Bezeichnung;Produktgruppe;Produktgruppe Bezeichnung;Haushaltsjahr;Ertrag / Aufwand; €
Abschreibungen;10;Wahlen;10.01;Wahlen;2015;A;11287,15
Abschreibungen;10;Wahlen;10.01;Wahlen;2016;A;13000,00
Abschreibungen;10;Wahlen;10.01;Wahlen;2017;A;6000,00
Abschreibungen;10;Wahlen;10.01;Wahlen;2018;A;3000,00
Abschreibungen;10;Wahlen;10.01;Wahlen;2019;A;3000,00
Abschreibungen;10;Wahlen;10.01;Wahlen;2020;A;2000,00
Abschreibungen;10;Wahlen;10.03;Integration und Antidiskriminierung;2015;A;20540,05
Abschreibungen;10;Wahlen;10.03;Integration und Antidiskriminierung;2016;A;21000,00
Abschreibungen;10;Wahlen;10.03;Integration und Antidiskriminierung;2017;A;23000,00
Abschreibungen;10;Wahlen;10.03;Integration und Antidiskriminierung;2018;A;27000,00
Abschreibungen;10;Wahlen;10.03;Integration und Antidiskriminierung;2019;A;23000,00
Abschreibungen;10;Wahlen;10.03;Integration und Antidiskriminierung;2020;A;19000,00
Abschreibungen;10;Wahlen;10.04;Gleichberechtigung für Bürgerinnen;2015;A;8328,00
Abschreibungen;10;Wahlen;10.04;Gleichberechtigung für Bürgerinnen;2016;A;6000,00
Abschreibungen;10;Wahlen;10.04;Gleichberechtigung für Bürgerinnen;2017;A;7000,00
Abschreibungen;10;Wahlen;10.04;Gleichberechtigung für Bürgerinnen;2018;A;8000,00
Abschreibungen;10;Wahlen;10.04;Gleichberechtigung für Bürgerinnen;2019;A;8000,00
Abschreibungen;10;Wahlen;10.04;Gleichberechtigung für Bürgerinnen;2020;A;7000,00
Abschreibungen;10;Wahlen;10.05;Statistik und Stadtbeobachtung;2015;A;27132,20
Abschreibungen;10;Wahlen;10.05;Statistik und Stadtbeobachtung;2016;A;20000,00
Abschreibungen;10;Wahlen;10.05;Statistik und Stadtbeobachtung;2017;A;20000,00
Abschreibungen;10;Wahlen;10.05;Statistik und Stadtbeobachtung;2018;A;34000,00
Abschreibungen;10;Wahlen;10.05;Statistik und Stadtbeobachtung;2019;A;37000,00
Abschreibungen;10;Wahlen;10.05;Statistik und Stadtbeobachtung;2020;A;41000,00
Abschreibungen;10;Wahlen;10.08;Geschäftsstelle der KAV;2015;A;2235,00
Abschreibungen;10;Wahlen;10.08;Geschäftsstelle der KAV;2016;A;3000,00
Abschreibungen;10;Wahlen;10.08;Geschäftsstelle der KAV;2017;A;3000,00
Abschreibungen;10;Wahlen;10.08;Geschäftsstelle der KAV;2018;A;3000,00
Abschreibungen;10;Wahlen;10.08;Geschäftsstelle der KAV;2019;A;4000,00
Abschreibungen;10;Wahlen;10.08;Geschäftsstelle der KAV;2020;A;4000,00
Abschreibungen;11;Ordnung und Sicherheit;11.01;Einwohnerangelegenheiten;2015;A;188054,50
Abschreibungen;11;Ordnung und Sicherheit;11.01;Einwohnerangelegenheiten;2016;A;214000,00
Abschreibungen;11;Ordnung und Sicherheit;11.01;Einwohnerangelegenheiten;2017;A;202000,00
Abschreibungen;11;Ordnung und Sicherheit;11.01;Einwohnerangelegenheiten;2018;A;244000,00
Abschreibungen;11;Ordnung und Sicherheit;11.01;Einwohnerangelegenheiten;2019;A;243000,00
Abschreibungen;11;Ordnung und Sicherheit;11.01;Einwohnerangelegenheiten;2020;A;235000,00
Abschreibungen;11;Ordnung und Sicherheit;11.02;Staatsangehörigkeit und Personenstand;2015;A;64608,06
Abschreibungen;11;Ordnung und Sicherheit;11.02;Staatsangehörigkeit und Personenstand;2016;A;83000,00
Abschreibungen;11;Ordnung und Sicherheit;11.02;Staatsangehörigkeit und Personenstand;2017;A;123000,00
Abschreibungen;11;Ordnung und Sicherheit;11.02;Staatsangehörigkeit und Personenstand;2018;A;191000,00
Abschreibungen;11;Ordnung und Sicherheit;11.02;Staatsangehörigkeit und Personenstand;2019;A;202000,00
Abschreibungen;11;Ordnung und Sicherheit;11.02;Staatsangehörigkeit und Personenstand;2020;A;188000,00
Abschreibungen;11;Ordnung und Sicherheit;11.04;Ordnung und Sicherheit;2015;A;1461614,65
Abschreibungen;11;Ordnung und Sicherheit;11.04;Ordnung und Sicherheit;2016;A;599000,00
Abschreibungen;11;Ordnung und Sicherheit;11.04;Ordnung und Sicherheit;2017;A;680000,00
Abschreibungen;11;Ordnung und Sicherheit;11.04;Ordnung und Sicherheit;2018;A;866000,00
Abschreibungen;11;Ordnung und Sicherheit;11.04;Ordnung und Sicherheit;2019;A;799000,00
Abschreibungen;11;Ordnung und Sicherheit;11.04;Ordnung und Sicherheit;2020;A;850000,00
Abschreibungen;11;Ordnung und Sicherheit;11.05;Verkehrssteuerung und -überwachung;2015;A;841566,41
Abschreibungen;11;Ordnung und Sicherheit;11.05;Verkehrssteuerung und -überwachung;2016;A;318000,00
Abschreibungen;11;Ordnung und Sicherheit;11.05;Verkehrssteuerung und -überwachung;2017;A;620000,00
Abschreibungen;11;Ordnung und Sicherheit;11.05;Verkehrssteuerung und -überwachung;2018;A;484000,00
Abschreibungen;11;Ordnung und Sicherheit;11.05;Verkehrssteuerung und -überwachung;2019;A;514000,00
Abschreibungen;11;Ordnung und Sicherheit;11.05;Verkehrssteuerung und -überwachung;2020;A;561000,00
Abschreibungen;12;Brandschutz und Rettungsdienst;12.01;Brandschutz;2015;A;3597354,88
